stock_exchange,corp_ticker,corp_name_listed,corp_name_local,corp_name_en,corp_id,biz_id,date_founded,date_listed,status_listing,ceo_name,addr_local,homepage,tel_no,fax_no,settle_period
Y,060980,HL홀딩스,에이치엘홀딩스(주),HL Holdings Corporation,1313110030042.0,1258130627,19991127,2010/05/19,ac,"김광헌, 김준범",경기도 용인시 기흥구 기흥단지로 46 -,hlholdings.co.kr,02-3434-5133,02-526-0555,12
Y,035000,HS애드,(주)에이치에스애드,HS Ad Inc.,1101110375398.0,1058129368,19840530,1999/08/11,ac,박애리,서울특별시 마포구  마포대로 155 LG마포B/D15F,www.hsad.co.kr/kor/main,02-705-2130,02)786-1997,12
Y,003560,아이에이치큐,(주)아이에이치큐,"IHQ, INC",1101110042393.0,2118120395,19620824,1973/12/18,ac,오준,서울특별시 강서구 강서로 501-8 6층,www.ihq.co.kr,02-6005-6000,02-6005-6007,12
Y,015360,INVENI,(주)INVENI,"INVENI Co., Ltd.",1101110290778.0,2188106851,19810305,1996/12/24,ac,"구본혁, 이창우",서울특별시 용산구 한강대로 92 LS 용산타워,www.inveni.com,02-3390-3010,3390-3011,12
Y,175330,JB금융지주,(주)JB금융지주,"JB FINANCIAL GROUP CO.,LTD",2101110091498.0,4188144697,20130701,2013/07/18,ac,김기홍,전라북도 전주시 덕진구  백제대로 566,www.jbfg.com,02-2128-2714,063-250-7970,12
Y,234080,JW생명과학,제이더블유생명과학(주),JW LIFESCIENCE CORPORATION,1350110057395.0,1338125692,19940510,2016/10/27,ac,노정열,충청남도 당진시 송악읍 한진1길 28,www.jw-lifescience.co.kr,041-351-7600,041-351-7655,12
Y,001060,JW중외제약,JW중외제약(주),JW PHARMACEUTICAL,1101110019342.0,1188102477,19450808,1976/06/14,ac,대표이사 신영섭,경기도 과천시 과천대로7길 38 -,www.jw-pharma.co.kr,02-840-6777,843-7696,12
Y,096760,JW홀딩스,JW홀딩스(주),JW HOLDINGS CORPORATION,1101113710468.0,1088180331,20070703,2007/07/31,ac,"이경하, 차성남",경기도 과천시 과천대로7길 38 -,jw-holdings.co.kr,02-840-6777,02-843-7696,12
Y,105560,KB금융,(주)KB금융지주,KB Financial Group Inc.,1101113975517.0,2018608254,20080929,2008/10/10,ac,양종희,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",www.kbfg.com,02-2073-7114,,12
Y,432320,KB스타리츠,(주)케이비스타위탁관리부동산투자회사,"KB STAR REIT Co., Ltd.",1101118191613.0,3808102408,20220208,2022/10/06,ac,신명재,"서울특별시 영등포구 국제금융로 10, 41층",www.kbstarreit.com,02-2167-8772,02-761-3211,1
K,024120,KB오토시스,KB오토시스(주),"KB Autosys Co.,Ltd",1101110408305.0,2048112301,19851014,1994/12/07,ac,김신완,충청남도 아산시  음봉면 아산온천로 528-24,www.kbautosys.com,041-537-5345,041 -546 -7993,12
Y,009070,케이씨티시,(주)케이씨티시,KCTC,1101110149446.0,2018110323,19730720,1978/09/29,ac,류주환,서울특별시 중구 남대문로 63 한진빌딩,www.kctc.co.kr,02-310-0700,(02) 752-4404,12
K,044180,KD,KD(주),KD Corporation,1201110012914.0,1398104128,19740806,2000/11/16,ac,안태일,경기도 성남시 수정구 위례광장로 19 (창곡동562) 아이페리온 707호,kdcon.co.kr,070-5138-4366,02-6952-2187,12
Y,003620,KG모빌리티,케이지모빌리티(주),KG Mobility Corp.,1101110035132.0,1258114248,19621206,1975/05/29,ac,"곽재선, 황기영 (각자대표이사)",경기도 평택시  동삭로 455-12,www.kg-mobility.com,031-610-1114,02-3469-6992,12
Y,016380,KG스틸,KG스틸(주),"KG DONGBUSTEEL CO., LTD.",1101110393308.0,1208142676,19821027,1986/02/03,ac,박성희,"서울특별시 중구 통일로 92 케이지타워 서울 중구 순화동 1-170, 케이지타워, 5층",kg-steel.co.kr,02-3450-8114,02)3450-8086,12
Y,001390,KG케미칼,KG케미칼(주),KG Chemical Corporation,1243110008999.0,1308109693,19541231,1989/08/25,ac,"곽정현, 김재익",울산광역시 울주군 온산읍 당월로 322,www.kgchem.co.kr,052-231-1842,052-231-1849,12
Y,033180,KH 필룩스,케이에이치필룩스(주),"KH FEELUX Co.,Ltd.",1115110004162.0,1278107398,19840207,2001/12/26,ac,배보성,경기도 양주시 광적면 광적로 235-48,www.feelux.com,070-7780-8000,02-977-2833,12
Y,001940,KISCO홀딩스,KISCO홀딩스(주),KISCO Holdings Corp.,1901110001872.0,6088100778,19570219,1989/11/13,ac,"장세홍, 이병제 (각자대표)",경상남도 창원시 성산구  공단로103번길 12 한국철강(주),www.kiscoholdings.co.kr,055-260-0500,055-283-3429,12
Y,025000,KPX케미칼,KPX케미칼(주),"KPX CHEMICAL CO., LTD.",1101110166903.0,1108133923,19740701,1994/12/27,ac,"양준영, 박승구, 이찬수(각자대표이사)",서울특별시 마포구  마포대로 137  KPX빌딩,www.kpxchemical.com,02-2014-4000,"02)363-5600,362-0034",12
Y,092230,KPX홀딩스,KPX홀딩스(주),"KPX HOLDINGS CO., LTD.",1101113520627.0,1108175919,20060901,2006/10/12,ac,양준영,서울특별시 마포구  마포대로 137 KPX빌딩 19층,www.kpxholdings.com,02-2014-4150,02-313-3434,12
Y,000040,KR모터스,KR모터스(주),"KR MOTORS CO., LTD",1601110007032.0,3058100020,19170917,1976/05/25,ac,"정재경, 노성석 (각자 대표이사)",경상남도 창원시 성산구 완암로 28 　,www.krmotors.com,055-282-7011,055-281-2664,12
Y,093050,LF,(주)LF,LF Corp.,1101113555187.0,2118787724,20061103,2006/12/01,ac,"오규식, 김상균 (각자 대표이사)",서울특별시 강남구 언주로 870 (신사동),www.lfcorp.com,02-3441-8114,02-3444-6672,12
Y,034220,LG디스플레이,엘지디스플레이(주),"LG Display Co., Ltd.",1101110393134.0,1208155297,19850228,2004/07/23,ac,정철동,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층),www.lgdisplay.com,02-3777-1010,02-3777-0797,12
Y,003550,LG,(주)LG,LG Corp.,1101110003543.0,1168118750,19470105,1970/02/13,ac,"구광모, 권봉석",서울특별시 영등포구  여의대로 128,www.lg.co.kr,02-3773-1114,02-3773-2292,12
Y,051900,LG생활건강,(주)LG생활건강,"LG H&H Co., Ltd.",1101112208000.0,1078198143,20010403,2001/04/25,ac,이정애,서울특별시 종로구  새문안로 58,www.lghnh.com,02-3773-1114,02-6924-6068,12
Y,373220,LG에너지솔루션,(주)엘지에너지솔루션,"LG ENERGY SOLUTION, LTD.",1101117701356.0,8518102050,20201201,2022/01/27,ac,김동명,"서울특별시 영등포구 여의대로 108, 타워 1",www.lgensol.com,02-3777-1114,,12
Y,032640,LG유플러스,(주)LG유플러스,LG Uplus Corp,1101111296676.0,2208139938,19960711,2008/04/21,ac,홍범식,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,www.uplus.co.kr,02-3773-1114,02-6928-1074,12
Y,011070,LG이노텍,엘지이노텍(주),"LG INNOTEK CO., LTD.",1101110192180.0,1058174316,19760224,2008/07/24,ac,문혁수,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,www.lginnotek.co.kr,02-3777-1114,(02)3777-0241,12
Y,066570,LG전자,LG전자(주),LG ELECTRONICS INC.,1101112487050.0,1078614075,20020401,2002/04/22,ac,조주완,서울특별시 영등포구  여의대로 128 LG트윈타워,www.lge.co.kr,02-3777-1114,3777-3428,12
Y,051910,LG화학,(주)LG화학,LG CHEM LTD,1101112207995.0,1078198139,20010401,2001/04/25,ac,신학철,서울특별시 영등포구  여의대로 128,www.lgchem.com,02-3777-1114,02-3773-7813,12
Y,079550,LIG넥스원,엘아이지넥스원(주),"LIG Nex1 Co., Ltd.",1101111516933.0,2158635051,19980225,2015/10/02,ac,신익현,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주),www.lignex1.com,1644 - 2005,02-2005-5392,12
Y,010120,엘에스일렉트릭,엘에스일렉트릭 주식회사,"LS ELECTRIC CO., LTD",1101110520076.0,1168119273,19740724,1994/07/11,ac,"구자균, 채대석",경기도 안양시 동안구  엘에스로 127 LS타워,www.ls-electric.com,02-2034-4184,02-2034-4260,12
Y,000680,LS네트웍스,(주)LS네트웍스,LS Networks Corporation Limited,1801110044717.0,6228104805,19491221,1973/11/15,ac,문성준,"경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)",www.lsnetworks.co.kr,02-799-7114,02-6442-5423,12
Y,006260,LS,(주)LS,LS Corp.,1101110003965.0,1168119007,19620515,1977/06/30,ac,명노현,서울특별시 용산구 한강대로 92 LS용산타워 -,www.lsholdings.co.kr,02-2189-9988,02)2189-9759,12
Y,229640,LS에코에너지,엘에스에코에너지 주식회사,LS Eco Energy Ltd.,1341110411706.0,8268600105,20150515,2016/09/22,ac,이상호,"강원특별자치도 동해시 대동로 215 (송정동, 1686)",www.lsecoenergy.com,02-2189-8974,031-428-0289,12
Y,108320,LX세미콘,(주)엘엑스세미콘,"LX Semicon Co., Ltd.",1601110089395.0,3148129147,19991111,2022/11/03,ac,이윤태,대전광역시 유성구 테크노2로 222,www.lxsemicon.com,042-712-7700,042-710-7728,12
Y,001120,LX인터내셔널,(주)LX인터내셔널,LX INTERNATIONAL CORP.,1101110004632.0,1168118686,19531126,1976/01/30,ac,윤춘성,서울특별시 종로구 새문안로 58 LG광화문빌딩,www.lxinternational.co.kr,02-6924-3114,3773-5836,12
K,086960,MDS테크,(주)MDS테크,MDS Tech Inc.,1101111626188.0,1178122859,19981229,2006/09/26,ac,"이창열, 이정승","경기도 성남시 분당구 대왕판교로644번길 49 9층(삼평동, DTC타워)",www.mdstech.co.kr,031-627-3000,031-627-3007,12
Y,023150,MH에탄올,(주)MH에탄올,"MHETHANOL CO.,LTD",1901110003563.0,6088103800,19780704,1996/12/24,ac,"최동호, 김일환",경상남도 창원시 마산회원구 내서읍 광려천남로 25,www.mhethanol.com,055-231-0701,055-231-1282,12
Y,035420,NAVER,네이버(주),NAVER Corporation,1101111707178.0,2208162517,19990602,2008/11/28,ac,최수연,경기도 성남시 분당구 정자일로 95 1784,www.navercorp.com,1588-3830,031-784-4175,12
Y,181710,NHN,엔에이치엔(주),NHN Corporation,1311110350139.0,1448115549,20130801,2013/08/29,ac,정우진,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄,www.nhn.com,1544-6859,031-8038-3000,12
Y,338100,NH프라임리츠,주식회사 엔에이치프라임위탁관리부동산투자회사,"NH Prime REIT Co., Ltd.",1101117123732.0,6868601336,20190530,2019/12/05,ac,소선호,"서울특별시 영등포구 국제금융로8길  2 5층(여의도동, 농협재단빌딩)",www.nhreits.com,02-6264-2836,,11
Y,034310,NICE,(주)NICE홀딩스,"NICE Holdings Co., Ltd",1101110505614.0,2148174186,19860911,2004/02/04,ac,조대민,서울특별시 영등포구 은행로 17 (여의도동) NICE 그룹 1사옥,www.nice.co.kr,02-2122-4000,02)2122-4111,12
K,063570,NICE인프라,NICE인프라(주),"NICE Infra Co., Ltd",1101111848980.0,2148645634,20000111,2006/07/14,ac,이현석,"서울특별시 마포구 새창로 7 6층, 7층, 8층(도화동)",www.nicetcm.co.kr,02-2122-5400,02-2122-5513,12
Y,008260,NI스틸,(주)NI스틸,"NI STEEL CO.,LTD",1101110137491.0,2148171272,19721214,1975/06/28,ac,이창환,서울특별시 동작구 동작대로 35 -,www.hcr4u.com,02-758-6789,(02)   758-6787,12
Y,004250,엔피씨,엔피씨(주),National Plastic Company Limited,1101110212699.0,1348126904,19650529,1969/09/08,ac,"나창엽,양창영,심일식(각자 대표이사)",경기도 용인시 수지구 신수로 785-17 엔피씨(주),www.npc.co.kr,031-5174-8800,031-546-0637,12
Y,456040,OCI,OCI(주),OCI Company Ltd.,1101118626793.0,3288802675,20230502,2023/05/30,ac,"김유신, 김원현(2인, 각자 대표이사)",서울특별시 중구 소공로 94 OCI빌딩,www.oci.co.kr,02-727-9500,,12
Y,010950,S-Oil,S-Oil(주),S-Oil Corporation,1101110189955.0,1168136743,19760106,1987/05/27,ac,Anwar A. Al-Hejazi (안와르 에이 알-히즈아지),서울특별시 마포구  백범로 192,www.s-oil.com,02-3772-5151,02-782-4879,12
Y,005090,SGC에너지,SGC에너지(주),"SGC Energy Co.,Ltd.",1101110079817.0,2148189700,19670627,1993/01/06,ac,"이우성, 박준영, 이복영","서울특별시 서초구 양재대로 246 2층,3층 한국소비자원",www.sgcenergy.co.kr,02-489-9400,02-489-8006,12
Y,001380,SG글로벌,(주)SG글로벌,"SG GLOBAL CO., LTD",1615110000037.0,3148108778,19541222,1976/06/29,ac,이의범,충청남도 예산군 예산읍 창말로 75 (주)SG글로벌,www.sgglobal.co.kr,070-5038-6333,070-4369-2409,12
Y,001770,SHD,(주)신화다이나믹스,"SHIN HWA DYNAMICS CO.,LTD",1101110028632.0,1348129352,19560601,1988/11/23,ac,신종호,"경기도 안산시 단원구  번영2로 31 (성곡동,시화4다706)",www.shinhwatp.co.kr,031-499-9922,031-499-9920,12
Y,002360,SH에너지화학,(주)SH에너지화학,"SH ENERGY & CHEMICAL CO.,LTD",1341110000210.0,4018109407,19580509,1985/12/23,ac,정케빈규봉,전라북도 군산시 외항7길 20,www.sh-enerchem.com,063-469-1500,063) 469-1519,12
Y,009160,SIMPAC,(주)SIMPAC,SIMPACInc,1201110002189.0,1228100819,19730809,1989/07/29,ac,최진식,인천광역시 부평구  부평북로 141 (주)SIMPAC,www.simpac.co.kr,032-510-0044,032-515-3030,12
Y,123700,에스제이엠,(주)에스제이엠,"SJM CO.,LTD",1314110241465.0,1348666202,20100504,2010/05/31,ac,김휘중 (단독 대표이사),경기도 안산시 단원구  별망로459번길 20 (주)에스제이엠,-,031-490-3838,031-491-3799,12
Y,025530,에스제이엠홀딩스,(주)에스제이엠홀딩스,"SJM HOLDINGS CO.,LTD",1301110008862.0,1348102386,19750331,1997/02/12,ac,"김용호, 김휘중(각자대표이사)",경기도 안산시 단원구 별망로459번길 20,www.sjmholdings.co.kr,031-491-4151,031-491-3799,12
Y,011790,SKC,SKC(주),SKC LTD,1301110001585.0,1358101250,19730716,1997/07/18,ac,박원철,경기도 수원시 장안구 정자로 102 SKC첨단기술중앙연구소 (정자동 911-10),www.skc.kr,02-3787-1234,02-537-3162,12
Y,018670,SK가스,SK가스(주),SK GAS LTD,1101110413247.0,1168112528,19851220,1997/08/27,ac,윤병석,경기도 성남시 분당구 판교로 332 ECO Hub,www.skgas.co.kr/,02-6200-8114,02-6200-8118,12
Y,001740,SK네트웍스,SK네트웍스(주),SKNetworksCompanyLimited,1301110005199.0,1248100718,19560324,1977/06/30,ac,이호정,경기도 수원시 장안구 경수대로976번길 19 -,www.sknetworks.co.kr,070-7800-2114,070-7800-0097,12
Y,210980,SK디앤디,SK디앤디(주),"SK D&D Co.,Ltd.",1101113001685.0,1018604792,20040427,2015/06/23,ac,김도현,경기도 성남시 분당구 판교로 332 (삼평동),www.skdnd.com,02-398-4700,02-398-4710,12
Y,395400,SK리츠,에스케이위탁관리부동산투자회사 주식회사,"SK REIT Co., Ltd.",1101117815446.0,2488602055,20210315,2021/09/14,ac,에스케이리츠운용 주식회사,서울특별시 중구 세종대로 136 15층,skreit.co.kr,02-6353-7070,02-6353-7099,3
Y,034730,SK,SK(주),SK Inc.,1101110769583.0,2208116503,19910413,2009/11/11,ac,"최태원, 장용호",서울특별시 종로구 종로 26 SK주식회사,www.sk-inc.com/,02-2121-5114,02-2121-1789,12
Y,402340,SK스퀘어,에스케이스퀘어 주식회사,"SK Square Co., Ltd.",1101118077821.0,5408102301,20211102,2021/11/29,ac,한명진,서울특별시 중구 을지로 65 SK T타워,www.sksquare.com,02-6100-3114,,12
Y,361610,SK아이이테크놀로지,에스케이아이이테크놀로지 주식회사,"SK ie technology Co., Ltd.",1101117064217.0,5598601539,20190401,2021/05/11,ac,이상민,서울특별시 종로구 종로 51 종로타워빌딩,www.skietechnology.com/,02-2121-5114,02-2121-2546,12
Y,100090,SK오션플랜트,에스케이오션플랜트(주),"SK oceanplant Co.,Ltd",1913110003485.0,6158106111,19961101,2023/04/19,ac,이승철,경상남도 고성군 동해면 내산3길 51-1,www.skoceanplant.com/,055-391-7020,055-673-7148,12
Y,096770,SK이노베이션,SK이노베이션(주),"SK Innovation Co., Ltd.",1101113710385.0,1018632319,20070703,2007/07/25,ac,추형욱,서울특별시 종로구  종로 26,www.SKinnovation.com,02-2121-5114,02-2121-2118,12
Y,001510,SK증권,SK증권(주),"SK SECURITIES CO.,LTD",1101110037112.0,1168136307,19550730,1986/09/20,ac,"전우종, 정준호",서울특별시 영등포구 국제금융로8길 31 여의도동 SK증권빌딩,www.sks.co.kr,02-3773-8245,02-3773-8107,12
Y,285130,SK케미칼,에스케이케미칼(주),"SK Chemicals Co., Ltd.",1311110501021.0,8468100915,20171201,2018/01/05,ac,"김철, 안재현",경기도 성남시 분당구 판교로 310,www.skchemicals.com,02-2008-2008,02-2008-2739,12
Y,017670,SK텔레콤,SK텔레콤(주),"SK TELECOM CO.,LTD",1101110371346.0,1048137225,19840420,1989/11/07,ac,유영상,서울특별시 중구  을지로 65 (을자로2가),www.sktelecom.com,02-6100-2114,02-6100-7948,12
Y,003570,SNT다이내믹스,SNT다이내믹스(주),"SNT DYNAMICS CO.,Ltd",1101110042880.0,1058132752,19590401,1976/07/08,ac,박재석,경상남도 창원시 성산구  남면로 599,www.hisntd.com,055-280-5000,055-280-5510,12
Y,064960,SNT모티브,SNT모티브(주),"SNT MOTIV CO.,LTD",1801110396069.0,6218147887,20020206,2002/03/11,ac,권형순,부산광역시 기장군  철마면 여락송정로 363,www.sntdaewoo.com,051-509-2114,02)3497-4060,12
Y,100840,SNT에너지,SNT에너지(주),"SNTEnergy Co.,Ltd.",1942110090598.0,6098181774,20080205,2008/02/22,ac,김형섭,경상남도 창원시 성산구  완암로 12,www.hisnt.com,055-212-6500,02-212-6525,12
Y,036530,SNT홀딩스,(주)SNT홀딩스,"SNT Holdings CO.,LTD ",1244110002907.0,1268114881,19820927,2002/10/22,ac,김도환,서울특별시 강남구 테헤란로 124 11층(역삼동),www.hisntholdings.com,02-3279-5010,02-869-4266,12
Y,005610,SPC삼립,(주)SPC삼립,"SPC SAMLIP CO., LTD.",1101110090516.0,1338122244,19680628,1975/05/02,ac,"황종현, 김범수(각자 대표이사)",경기도 시흥시 공단1대로 101,www.spcsamlip.co.kr,02-2276-5035,031-496-2271,12
Y,465770,STX그린로지스,(주)STX 그린 로지스,STX Green Logis Ltd,1801111522465.0,4238602883,20230901,2023/09/15,ac,유재호,부산광역시 중구 중앙대로 102 17층(부산빌딩),www.stxgreenlogis.co.kr/,02-316-9893,,12
