corp_code,corp_name,corp_name_eng,krx_code,stock_code,stock_name,corp_cls,corp_cls_l,jurir_no,bizr_no,ceo_nm,adres,hm_url,ir_url,phn_no,fax_no,induty_code,est_dt,lst_dt,acc_mt,sec_cls,market_div,stock_type,par_val,iss_shr,modify_date
00380429,(주)CMG제약,"CMG Pharmaceutical Co., Ltd.",KR7058820002,058820,CMG제약,K,KOSDAQ,1350110115846,1348171976,이주형,서울특별시 강남구 학동로 170 베터라이프빌딩 3층(논현동),www.cmgpharma.co.kr,cmgpharma.irpage.co.kr,031-881-7600,031-881-7670,212,20010801,2001/08/31,12,주권,중견기업부,보통주,500,147675169,20230717
00149026,CS 홀딩스(주),"CS Holdings Co.,Ltd.",KR7000590000,000590,CS홀딩스,Y,KOSPI,1101110008486,2208113170,장원영,경상북도 포항시 남구 괴동로 43 (장흥동),www.chosunwelding.com,,02-3459-9363,052-237-3311,64992,19490112,1975/12/22,12,주권,,보통주,5000,1154482,20221208
00163345,(주) DB Inc.,DB Inc.,KR7012030003,012030,DB,Y,KOSPI,1101110210859,2118119938,"문덕식,강운식 (각자 대표이사)",서울특별시 강남구 삼성로96길 23 7층,www.dbinc.co.kr,,02-2136-6000,02-2136-6007,62021,19770315,1993/01/06,12,주권,,보통주,500,201173933,20221214
00159102,DB손해보험(주),"DB INSURANCE CO.,LTD",KR7005830005,005830,DB손해보험,Y,KOSPI,1101110095285,2018145593,"김정남, 정종표",서울특별시 강남구  테헤란로 432,www.idbins.com,,02-1588-0100,0505-181-0027,65121,19681101,1973/06/28,12,주권,,보통주,500,70800000,20230110
00115694,DB증권(주),"DB Securities Co.,Ltd",KR7016610008,016610,DB증권,Y,KOSPI,1101110339956,1168159557,곽봉석,서울특별시 영등포구 국제금융로8길 32 동부증권빌딩,dbsec.co.kr,	https://www.dbsec.co.kr/company/ko/invest/irDocument.do,02-369-3000,02-782-6703,66121,19821220,1988/06/27,12,주권,,보통주,5000,42446389,20250604
00160843,주식회사 DB하이텍,"DB HiTek Co.,LTD",KR7000990002,000990,DB하이텍,Y,KOSPI,1101110026206,2118110771,조기석,경기도 부천시 수도로 90 (주)DB하이텍,www.dbhitek.co.kr,,02-3484-2888,02-550-1899,2611,19530428,1975/12/12,12,주권,,보통주,5000,44398588,20230330
00118345,디아이동일(주),DI DONG IL CORPORATION,KR7001530005,001530,디아이동일,Y,KOSPI,1101110019219,1208114879,"서태원, 손재선",서울특별시 강남구  테헤란로 516 정헌빌딩 8층,www.dong-il.com,,02-2222-3071,2222-3280,46103,19550805,1964/01/04,12,주권,,보통주,500,19729280,20230215
00109693,디엘 주식회사,"DL Holdings CO.,LTD",KR7000210005,000210,DL,Y,KOSPI,1101110084915,1168135007,김종현,서울특별시 종로구 통일로 134 디타워 돈의문,www.dlholdings.co.kr,,02-2011-7114,02-2011-8035,20111,19391010,1976/02/02,12,주권,,보통주,5000,20955884,20230502
01524093,디엘이앤씨 주식회사,"DL E&C CO.,LTD.",KR7375500006,375500,DL이앤씨,Y,KOSPI,1101117736808,6768701904,박상신,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",www.dlenc.co.kr,,02-2011-7114,,412,20210104,2021/01/25,12,주권,,보통주,5000,38693623,20250911
00110608,DSR(주),DSR CORP,KR7155660004,155660,DSR,Y,KOSPI,1801110000777,6178100224,홍석빈,부산광역시 강서구 녹산산업중로192번길 7,www.dsr.com,,02-3420-3591,02-3420-3600,242,19650401,2013/05/15,12,주권,,보통주,500,16000000,20230223
00151298,DSR제강(주),DSR WIRE CORP,KR7069730000,069730,DSR제강,Y,KOSPI,1801110004753,6178102687,"홍하종, 홍석빈 (각자 대표이사)",전라남도 순천시  서면 산단1길 15,www.dsrcorp.com,,061-752-0121,061)753-0122,24123,19710901,2003/01/28,12,주권,,보통주,500,14400000,20250624
00108612,주식회사 디에스단석,"DS DANSUK CO., LTD.",KR7017860008,017860,DS단석,Y,KOSPI,1341110010839,1338122642,한승욱,경기도 시흥시 협력로 165,dsdansuk.com,,031-488-0700,031)499-3909,204,19840806,2023/12/22,12,주권,,보통주,500,17584212,20231222
00165583,(주)E1,E1 Corporation,KR7017940008,017940,E1,Y,KOSPI,1101110381387,1148116585,"구자용, 천정식 (각자 대표이사)",서울특별시 용산구 한강대로 92 LS용산타워,www.e1.co.kr,,02-3441-4114,(02) 6204-1407,46713,19840906,1997/08/27,12,주권,,보통주,5000,6860000,20230105
01437186,이에스알켄달스퀘어위탁관리부동산투자회사주식회사,"ESR Kendall Square REIT Co., Ltd.",KR7365550003,365550,ESR켄달스퀘어리츠,Y,KOSPI,1101117398989,3828101986,조주현,"서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층",www.esrks-reit.com,http://www.esrks-reit.com/ ,02-6205-0467,02-6205-0466,681,20200220,2020/12/23,05,부동산투자회사,,보통주,1000,246089000,20230119
00175623,(주)ES큐브,"ES CUBE CO., LTD.",KR7050120005,050120,ES큐브,K,KOSDAQ,1801110031516,6218121761,안경환,"서울특별시 강남구 강남대로 556 12층(논현동, 논현빌딩)",www.escube.co.kr,www.escube.co.kr,02-3446-4875,02-3446-4873,46419,19770620,2002/04/25,12,주권,중견기업부,보통주,5000,13564086,20250819
01568413,주식회사 에프앤에프,"F&F CO.,Ltd",KR7383220001,383220,F&F,Y,KOSPI,1101117875440,1538102451,김창수,서울특별시 강남구 테헤란로8길 8 -,www.fnf.co.kr,,02-520-0027,02-597-1507,14111,20210503,2021/05/21,12,주권,,보통주,100,38307075,20250414
00126487,주식회사 에프앤에프홀딩스,"F&F Holdings Co., Ltd.",KR7007700008,007700,F&F 홀딩스,Y,KOSPI,1101110126783,2148609977,박의헌,서울특별시 강남구 테헤란로8길 8 센터포인트강남,www.fnfholdings.com,,02-520-0001,02-597-1507,64992,19720224,1984/10/04,12,주권,,보통주,500,39114367,20250414
00120030,지에스건설(주),GS Engineering & Construction Corp,KR7006360002,006360,GS건설,Y,KOSPI,1101110002694,1048118121,"허창수, 허윤홍(각자 대표이사)",서울특별시 종로구 종로 33 그랑서울,www.gsenc.com,https://www.gsenc.com/IR/Announce/Announce_01.aspx,02-2154-1112,02-2154-0807,4111,19691219,1981/08/03,12,주권,,보통주,5000,85581490,20250626
00500254,(주)GS,GS Holdings,KR7078930005,078930,GS,Y,KOSPI,1101113045112,2208687395,"허태수, 홍순기 (각자 대표이사)",서울특별시 강남구 논현로 508,-,,-,02-2005-8180,64992,20040701,2004/08/05,12,주권,,보통주,5000,92915378,20221227
00164636,에이치디씨(주),"HDC HOLDINGS CO.,Ltd",KR7012630000,012630,HDC,Y,KOSPI,1101110279433,1148158853,"정몽규, 김회언 (각자 대표이사)",서울특별시 종로구 경희궁1가길 9 -,www.hdc-holdings.com,,02-2008-8607,02-2008-8699,649,19771014,1996/10/16,12,주권,,보통주,5000,59741721,20250327
01310269,에이치디씨현대산업개발(주),HYUNDAI DEVELOPMENT COMPANY,KR7294870001,294870,HDC현대산업개발,Y,KOSPI,1101116740008,3348600815,"정경구, 조태제(각자 대표이사)",서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층,www.hdc-dvp.com,,02-2008-9114,,411,20180502,2018/06/12,12,주권,,보통주,5000,65907330,20250327
00633835,(주)에이치제이중공업,"HJ SHIPBUILDING & CONSTRUCTION CO.,LTD",KR7097230007,097230,HJ중공업,Y,KOSPI,1801110602507,6028142993,"김완석, 유상철",부산광역시 영도구  태종로 233 한진중공업,www.hjsc.co.kr,,051-410-3114,051-410-8465,41221,20070803,2007/08/31,12,주권,,보통주,5000,83274281,20240401
00161116,에이치엘디앤아이한라(주),HL D&I HALLA CORPORATION,KR7014790000,014790,HL D&I,Y,KOSPI,1101110274699,2158140656,홍석화,서울특별시 송파구 올림픽로 289,www.halla.co.kr,,02-3434-5114,3434-5131,41221,19800502,1994/08/12,12,주권,,보통주,5000,37858601,20240925
00155586,에이치엘비이노베이션(주),"HLB innoVation Co.,Ltd.",KR7024850000,024850,HLB이노베이션,K,KOSDAQ,1101110234312,1168116183,"김홍철, BRYANBYONGJIN.KIM(각자 대표)",경기도 화성시 향남읍 발안공단로4길 16 구문천리 928,www.hlbinnovation.com,,031-522-3700,031-522-3716,2629,19780616,2001/01/18,12,주권,중견기업부,보통주,500,144304123,20250520
01042775,에이치엘만도(주),"HL Mando CO.,LTD",KR7204320006,204320,HL만도,Y,KOSPI,1313110140776,1258625094,"조성현, 김현욱 (각자대표)",경기도 평택시 포승읍 하만호길 32,www.mando.com,,031-680-6114,02-6188-1411,303,20140902,2014/10/06,12,주권,,보통주,1000,46957120,20230327
00299002,에이치엘홀딩스(주),HL Holdings Corporation,KR7060980000,060980,HL홀딩스,Y,KOSPI,1313110030042,1258130627,"김광헌, 김준범",경기도 용인시 기흥구 기흥단지로 46 -,hlholdings.co.kr,,02-3434-5133,02-526-0555,64992,19991127,2010/05/19,12,주권,,보통주,5000,9213477,20230329
00140168,(주)에이치에스애드,HS Ad Inc.,KR7035000009,035000,HS애드,Y,KOSPI,1101110375398,1058129368,박애리,서울특별시 마포구  마포대로 155 LG마포B/D15F,www.hsad.co.kr/kor/main,,02-705-2130,02)786-1997,71310,19840530,1999/08/11,12,주권,,보통주,1000,16567409,20241008
00154426,(주)아이에이치큐,"IHQ, INC",KR7003560000,003560,아이에이치큐,Y,KOSPI,1101110042393,2118120395,오준,서울특별시 강서구 강서로 501-8 6층,www.ihq.co.kr,,02-6005-6000,02-6005-6007,591,19620824,1973/12/18,12,주권,,보통주,500,7083730,20231024
00105101,(주)INVENI,"INVENI Co., Ltd.",KR7015360001,015360,INVENI,Y,KOSPI,1101110290778,2188106851,"구본혁, 이창우",서울특별시 용산구 한강대로 92 LS 용산타워,www.inveni.com,,02-3390-3010,3390-3011,715,19810305,1996/12/24,12,주권,,보통주,5000,6000000,20250417
00980122,(주)JB금융지주,"JB FINANCIAL GROUP CO.,LTD",KR7175330000,175330,JB금융지주,Y,KOSPI,2101110091498,4188144697,김기홍,전라북도 전주시 덕진구  백제대로 566,www.jbfg.com,,02-2128-2714,063-250-7970,64992,20130701,2013/07/18,12,주권,,보통주,5000,191183144,20230113
00225706,제이더블유생명과학(주),JW LIFESCIENCE CORPORATION,KR7234080000,234080,JW생명과학,Y,KOSPI,1350110057395,1338125692,노정열,충청남도 당진시 송악읍 한진1길 28,www.jw-lifescience.co.kr,,041-351-7600,041-351-7655,212,19940510,2016/10/27,12,주권,,보통주,2500,15834554,20241203
00149947,JW중외제약(주),JW PHARMACEUTICAL,KR7001060003,001060,JW중외제약,Y,KOSPI,1101110019342,1188102477,대표이사 신영섭,경기도 과천시 과천대로7길 38 -,www.jw-pharma.co.kr,,02-840-6777,843-7696,212,19450808,1976/06/14,12,주권,,보통주,2500,23285930,20240701
00632304,JW홀딩스(주),JW HOLDINGS CORPORATION,KR7096760004,096760,JW홀딩스,Y,KOSPI,1101113710468,1088180331,"이경하, 차성남",경기도 과천시 과천대로7길 38 -,jw-holdings.co.kr,,02-840-6777,02-843-7696,64992,20070703,2007/07/31,12,주권,,보통주,500,73924942,20240328
00688996,(주)KB금융지주,KB Financial Group Inc.,KR7105560007,105560,KB금융,Y,KOSPI,1101113975517,2018608254,양종희,"서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)",www.kbfg.com,,02-2073-7114,,64992,20080929,2008/10/10,12,주권,,보통주,5000,381462103,20250108
01622720,(주)케이비스타위탁관리부동산투자회사,"KB STAR REIT Co., Ltd.",KR7432320000,432320,KB스타리츠,Y,KOSPI,1101118191613,3808102408,신명재,"서울특별시 영등포구 국제금융로 10, 41층",www.kbstarreit.com,www.kbstarreit.com,02-2167-8772,02-761-3211,68112,20220208,2022/10/06,01,부동산투자회사,,보통주,500,101414285,20230726
00157539,KB오토시스(주),"KB Autosys Co.,Ltd",KR7024120008,024120,KB오토시스,K,KOSDAQ,1101110408305,2048112301,김신완,충청남도 아산시  음봉면 아산온천로 528-24,www.kbautosys.com,,041-537-5345,041 -546 -7993,303,19851014,1994/12/07,12,주권,중견기업부,보통주,500,11500000,20221205
00103042,(주)케이씨티시,KCTC,KR7009070004,009070,케이씨티시,Y,KOSPI,1101110149446,2018110323,류주환,서울특별시 중구 남대문로 63 한진빌딩,www.kctc.co.kr,,02-310-0700,(02) 752-4404,49301,19730720,1978/09/29,12,주권,,보통주,500,30000000,20220328
00111218,KD(주),KD Corporation,KR7044180008,044180,KD,K,KOSDAQ,1201110012914,1398104128,안태일,경기도 성남시 수정구 위례광장로 19 (창곡동562) 아이페리온 707호,kdcon.co.kr,,070-5138-4366,02-6952-2187,411,19740806,2000/11/16,12,주권,중견기업부,보통주,500,26717799,20250331
00138242,케이지모빌리티(주),KG Mobility Corp.,KR7003620002,003620,KG모빌리티,Y,KOSPI,1101110035132,1258114248,"곽재선, 황기영 (각자대표이사)",경기도 평택시  동삭로 455-12,www.kg-mobility.com,,031-610-1114,02-3469-6992,301,19621206,1975/05/29,12,주권,,보통주,1000,202374912,20250604
00115676,KG스틸(주),"KG DONGBUSTEEL CO., LTD.",KR7016380008,016380,KG스틸,Y,KOSPI,1101110393308,1208142676,박성희,"서울특별시 중구 통일로 92 케이지타워 서울 중구 순화동 1-170, 케이지타워, 5층",kg-steel.co.kr,,02-3450-8114,02)3450-8086,24122,19821027,1986/02/03,12,주권,,보통주,5000,100008897,20230605
00101220,KG케미칼(주),KG Chemical Corporation,KR7001390004,001390,KG케미칼,Y,KOSPI,1243110008999,1308109693,"곽정현, 김재익",울산광역시 울주군 온산읍 당월로 322,www.kgchem.co.kr,,052-231-1842,052-231-1849,201,19541231,1989/08/25,12,주권,,보통주,1000,68469040,20230220
00193009,케이에이치필룩스(주),"KH FEELUX Co.,Ltd.",KR7033180001,033180,KH 필룩스,Y,KOSPI,1115110004162,1278107398,배보성,경기도 양주시 광적면 광적로 235-48,www.feelux.com,,070-7780-8000,02-977-2833,2629,19840207,2001/12/26,12,주권,,보통주,100,26020020,20231108
00159740,KISCO홀딩스(주),KISCO Holdings Corp.,KR7001940006,001940,KISCO홀딩스,Y,KOSPI,1901110001872,6088100778,"장세홍, 이병제 (각자대표)",경상남도 창원시 성산구  공단로103번길 12 한국철강(주),www.kiscoholdings.co.kr,www.kiscoholdings.co.kr,055-260-0500,055-283-3429,241,19570219,1989/11/13,12,주권,,보통주,1000,14176380,20241231
00191472,KPX케미칼(주),"KPX CHEMICAL CO., LTD.",KR7025000001,025000,KPX케미칼,Y,KOSPI,1101110166903,1108133923,"양준영, 박승구, 이찬수(각자대표이사)",서울특별시 마포구  마포대로 137  KPX빌딩,www.kpxchemical.com,,02-2014-4000,"02)363-5600,362-0034",20119,19740701,1994/12/27,12,주권,,보통주,5000,4840000,20240325
00587466,KPX홀딩스(주),"KPX HOLDINGS CO., LTD.",KR7092230002,092230,KPX홀딩스,Y,KOSPI,1101113520627,1108175919,양준영,서울특별시 마포구  마포대로 137 KPX빌딩 19층,www.kpxholdings.com,,02-2014-4150,02-313-3434,201,20060901,2006/10/12,12,주권,,보통주,5000,4224646,20221128
00112378,KR모터스(주),"KR MOTORS CO., LTD",KR7000040006,000040,KR모터스,Y,KOSPI,1601110007032,3058100020,"정재경, 노성석 (각자 대표이사)",경상남도 창원시 성산구 완암로 28 　,www.krmotors.com,,055-282-7011,055-281-2664,319,19170917,1976/05/25,12,주권,,보통주,500,86375184,20240701
00593032,(주)LF,LF Corp.,KR7093050003,093050,LF,Y,KOSPI,1101113555187,2118787724,"오규식, 김상균 (각자 대표이사)",서울특별시 강남구 언주로 870 (신사동),www.lfcorp.com,,02-3441-8114,02-3444-6672,14111,20061103,2006/12/01,12,주권,,보통주,5000,29240000,20221209
00105873,엘지디스플레이(주),"LG Display Co., Ltd.",KR7034220004,034220,LG디스플레이,Y,KOSPI,1101110393134,1208155297,정철동,서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층),www.lgdisplay.com,,02-3777-1010,02-3777-0797,2621,19850228,2004/07/23,12,주권,,보통주,5000,500000000,20250620
00120021,(주)LG,LG Corp.,KR7003550001,003550,LG,Y,KOSPI,1101110003543,1168118750,"구광모, 권봉석",서울특별시 영등포구  여의대로 128,www.lg.co.kr,www.lg.co.kr,02-3773-1114,02-3773-2292,64992,19470105,1970/02/13,12,주권,,보통주,5000,157251165,20221220
00356370,(주)LG생활건강,"LG H&H Co., Ltd.",KR7051900009,051900,LG생활건강,Y,KOSPI,1101112208000,1078198143,이정애,서울특별시 종로구  새문안로 58,www.lghnh.com,,02-3773-1114,02-6924-6068,20422,20010403,2001/04/25,12,주권,,보통주,5000,15302459,20230329
01515323,(주)엘지에너지솔루션,"LG ENERGY SOLUTION, LTD.",KR7373220003,373220,LG에너지솔루션,Y,KOSPI,1101117701356,8518102050,김동명,"서울특별시 영등포구 여의대로 108, 타워 1",www.lgensol.com,https://www.lgensol.com/kr/earnings-announcement,02-3777-1114,,28202,20201201,2022/01/27,12,주권,,보통주,500,234000000,20250812
00231363,(주)LG유플러스,LG Uplus Corp,KR7032640005,032640,LG유플러스,Y,KOSPI,1101111296676,2208139938,홍범식,서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥,www.uplus.co.kr,,02-3773-1114,02-6928-1074,61220,19960711,2008/04/21,12,주권,,보통주,5000,429828355,20250326
00105961,엘지이노텍(주),"LG INNOTEK CO., LTD.",KR7011070000,011070,LG이노텍,Y,KOSPI,1101110192180,1058174316,문혁수,서울특별시 강서구 마곡중앙10로 30 LG사이언스파크,www.lginnotek.co.kr,,02-3777-1114,(02)3777-0241,262,19760224,2008/07/24,12,주권,,보통주,5000,23667107,20240322
00401731,LG전자(주),LG ELECTRONICS INC.,KR7066570003,066570,LG전자,Y,KOSPI,1101112487050,1078614075,조주완,서울특별시 영등포구  여의대로 128 LG트윈타워,www.lge.co.kr,www.lge.co.kr/company/investor/presentation#com-tabs01,02-3777-1114,3777-3428,264,20020401,2002/04/22,12,주권,,보통주,5000,162886387,20231218
00356361,(주)LG화학,LG CHEM LTD,KR7051910008,051910,LG화학,Y,KOSPI,1101112207995,1078198139,신학철,서울특별시 영등포구  여의대로 128,www.lgchem.com,,02-3777-1114,02-3773-7813,20111,20010401,2001/04/25,12,주권,,보통주,5000,70592343,20230106
00503668,엘아이지넥스원(주),"LIG Nex1 Co., Ltd.",KR7079550000,079550,LIG넥스원,Y,KOSPI,1101111516933,2158635051,신익현,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주),www.lignex1.com,,1644 - 2005,02-2005-5392,25200,19980225,2015/10/02,12,주권,,보통주,5000,22000000,20240326
00105855,엘에스일렉트릭 주식회사,"LS ELECTRIC CO., LTD",KR7010120004,010120,엘에스일렉트릭,Y,KOSPI,1101110520076,1168119273,"구자균, 채대석",경기도 안양시 동안구  엘에스로 127 LS타워,www.ls-electric.com,,02-2034-4184,02-2034-4260,28121,19740724,1994/07/11,12,주권,,보통주,5000,30000000,20250326
00104698,(주)LS네트웍스,LS Networks Corporation Limited,KR7000680009,000680,LS네트웍스,Y,KOSPI,1801110044717,6228104805,문성준,"경상남도 김해시 호계로 428 1층(부원동, 세화빌딩)",www.lsnetworks.co.kr,www.lsnetworks.co.kr,02-799-7114,02-6442-5423,46800,19491221,1973/11/15,12,주권,,보통주,5000,78803016,20220330
00105952,(주)LS,LS Corp.,KR7006260004,006260,LS,Y,KOSPI,1101110003965,1168119007,명노현,서울특별시 용산구 한강대로 92 LS용산타워 -,www.lsholdings.co.kr,,02-2189-9988,02)2189-9759,64992,19620515,1977/06/30,12,주권,,보통주,5000,31700000,20230106
01093007,엘에스에코에너지 주식회사,LS Eco Energy Ltd.,KR7229640008,229640,LS에코에너지,Y,KOSPI,1341110411706,8268600105,이상호,"강원특별자치도 동해시 대동로 215 (송정동, 1686)",www.lsecoenergy.com,,02-2189-8974,031-428-0289,64992,20150515,2016/09/22,12,주권,,보통주,500,30624879,20250404
00525934,(주)엘엑스세미콘,"LX Semicon Co., Ltd.",KR7108320003,108320,LX세미콘,Y,KOSPI,1601110089395,3148129147,이윤태,대전광역시 유성구 테크노2로 222,www.lxsemicon.com,http://www.siliconworks.co.kr/kor/main/,042-712-7700,042-710-7728,2612,19991111,2022/11/03,12,주권,,보통주,500,16264300,20240322
00120076,(주)LX인터내셔널,LX INTERNATIONAL CORP.,KR7001120005,001120,LX인터내셔널,Y,KOSPI,1101110004632,1168118686,윤춘성,서울특별시 종로구 새문안로 58 LG광화문빌딩,www.lxinternational.co.kr,https://www.lxinternational.com/kr/investment/result_data,02-6924-3114,3773-5836,4610,19531126,1976/01/30,12,주권,,보통주,5000,38760000,20231115
00445841,(주)MDS테크,MDS Tech Inc.,KR7086960002,086960,MDS테크,K,KOSDAQ,1101111626188,1178122859,"이창열, 이정승","경기도 성남시 분당구 대왕판교로644번길 49 9층(삼평동, DTC타워)",www.mdstech.co.kr,,031-627-3000,031-627-3007,58221,19981229,2006/09/26,12,주권,중견기업부,보통주,200,92821788,20250224
00121534,(주)MH에탄올,"MHETHANOL CO.,LTD",KR7023150006,023150,MH에탄올,Y,KOSPI,1901110003563,6088103800,"최동호, 김일환",경상남도 창원시 마산회원구 내서읍 광려천남로 25,www.mhethanol.com,,055-231-0701,055-231-1282,11121,19780704,1996/12/24,12,주권,,보통주,500,7378526,20250321
00266961,네이버(주),NAVER Corporation,KR7035420009,035420,NAVER,Y,KOSPI,1101111707178,2208162517,최수연,경기도 성남시 분당구 정자일로 95 1784,www.navercorp.com,https://www.navercorp.com/investment/investors,1588-3830,031-784-4175,63120,19990602,2008/11/28,12,주권,,보통주,100,156852638,20240311
00983271,엔에이치엔(주),NHN Corporation,KR7181710005,181710,NHN,Y,KOSPI,1311110350139,1448115549,정우진,경기도 성남시 분당구  대왕판교로645번길 16 플레이뮤지엄,www.nhn.com,,1544-6859,031-8038-3000,5821,20130801,2013/08/29,12,주권,,보통주,500,33766123,20250806
01391033,주식회사 엔에이치프라임위탁관리부동산투자회사,"NH Prime REIT Co., Ltd.",KR7338100001,338100,NH프라임리츠,Y,KOSPI,1101117123732,6868601336,소선호,"서울특별시 영등포구 국제금융로8길  2 5층(여의도동, 농협재단빌딩)",www.nhreits.com,nhprimereit.com,02-6264-2836,,681,20190530,2019/12/05,11,부동산투자회사,,보통주,500,18660000,20230222
00158316,(주)NICE홀딩스,"NICE Holdings Co., Ltd",KR7034310003,034310,NICE,Y,KOSPI,1101110505614,2148174186,조대민,서울특별시 영등포구 은행로 17 (여의도동) NICE 그룹 1사옥,www.nice.co.kr,,02-2122-4000,02)2122-4111,715,19860911,2004/02/04,12,주권,,보통주,500,37128442,20240102
00363769,NICE인프라(주),"NICE Infra Co., Ltd",KR7063570006,063570,NICE인프라,K,KOSDAQ,1101111848980,2148645634,이현석,"서울특별시 마포구 새창로 7 6층, 7층, 8층(도화동)",www.nicetcm.co.kr,,02-2122-5400,02-2122-5513,759,20000111,2006/07/14,12,주권,우량기업부,보통주,500,34147728,20250425
00116301,(주)NI스틸,"NI STEEL CO.,LTD",KR7008260002,008260,NI스틸,Y,KOSPI,1101110137491,2148171272,이창환,서울특별시 동작구 동작대로 35 -,www.hcr4u.com,,02-758-6789,(02)   758-6787,2419,19721214,1975/06/28,12,주권,,보통주,500,28600117,20230327
00108038,엔피씨(주),National Plastic Company Limited,KR7004250007,004250,엔피씨,Y,KOSPI,1101110212699,1348126904,"나창엽,양창영,심일식(각자 대표이사)",경기도 용인시 수지구 신수로 785-17 엔피씨(주),www.npc.co.kr,,031-5174-8800,031-546-0637,22232,19650529,1969/09/08,12,주권,,보통주,500,36720000,20250401
01760738,OCI(주),OCI Company Ltd.,KR7456040005,456040,OCI,Y,KOSPI,1101118626793,3288802675,"김유신, 김원현(2인, 각자 대표이사)",서울특별시 중구 소공로 94 OCI빌딩,www.oci.co.kr,,02-727-9500,,20129,20230502,2023/05/30,12,주권,,보통주,5000,8952495,20250428
00138279,S-Oil(주),S-Oil Corporation,KR7010950004,010950,S-Oil,Y,KOSPI,1101110189955,1168136743,Anwar A. Al-Hejazi (안와르 에이 알-히즈아지),서울특별시 마포구  백범로 192,www.s-oil.com,,02-3772-5151,02-782-4879,19210,19760106,1987/05/27,12,주권,,보통주,2500,112582792,20230510
