ticker,company_name,EMSEC1,EMSEC1_비중(%),EMSEC2,EMSEC2_비중(%),EMSEC3,EMSEC3_비중(%),EMSEC4,EMSEC4_비중(%),EMTEC
000760,이화산업,Specialty Chemicals,75.08,Real Estate Development & Management,24.92,,,,,
000810,삼성화재,Insurance,100,,,,,,,
000850,화천기공,Machine Tools,100,,,,,,,"['Process Automation', 'Industrial IoT']"
000860,강남제비스코,Specialty Chemicals,62.13,Synthetic Rubber & Plastics,37.87,,,,,['High-performance Polymers & Functional Films']
000880,한화,Specialty Chemicals,46.18,Asset Management,28.81,Insurance,25,,,"['Process Automation', 'Industrial IoT', 'Semiconductor Materials', 'Battery & Energy Materials', 'Solar & Wind Power', 'Telecommunications and IoT Technologies']"
000890,보해양조,Beverages & Alcohol,100,,,,,,,
000910,유니온,Building Materials,48.81,Electronic Components,33.03,Ceramic Products,18.16,,,
000950,전방,Apparel & Accessories,100,,,,,,,
000970,한국주철관,Metal Processing,54.67,Water,23.55,Cosmetics,21.77,,,
000990,DB하이텍,Semiconductor Manufacturing,100,,,,,,,"['Semiconductor Materials', 'Telecommunications and IoT Technologies']"
001000,신라섬유,Real Estate Development & Management,53.27,Handsets,46.73,,,,,
001020,페이퍼코리아,Paper & Pulp,100,,,,,,,
001040,CJ,Freight Land Transport,57.27,Primary Processed Foods,42.73,,,,,"['Genomics & Diagnostics', 'Digital Therapeutics', 'Retail, Marketing and Customer Technologies', 'Telecommunications and IoT Technologies']"
001060,JW중외제약,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
001070,대한방직,Apparel & Accessories,100,,,,,,,
001080,만호제강,Metal Processing,100,,,,,,,
001120,LX인터내셔널,Trading Companies,100,,,,,,,
001130,대한제분,"Agriculture, Livestock & Fisheries",50.36,Primary Processed Foods,49.64,,,,,
001140,국보,Freight Land Transport,100,,,,,,,
001200,유진투자증권,Securities,100,,,,,,,"['Finance and Risk Analytics Technologies', 'SaaS Platforms']"
001210,금호전기,Electronic Equipment & Devices,100,,,,,,,
001230,동국홀딩스,Steel,100,,,,,,,
001250,GS글로벌,Trading Companies,100,,,,,,,"['Solar & Wind Power', 'Hydrogen Energy', 'Energy Storage Systems', 'Carbon Capture and Utilization']"
001260,남광토건,Civil Construction,63.7,Building Construction,36.3,,,,,"['Construction, Plant and Heavy Industry Technologies']"
001270,부국증권,Securities,100,,,,,,,
001290,상상인증권,Securities,100,,,,,,,
001340,백광산업,Petrochemicals,100,,,,,,,"['Semiconductor Materials', 'Advanced Optical & Electronic Materials']"
001360,삼성제약,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
001380,SG글로벌,Auto Parts,100,,,,,,,
001390,KG케미칼,Automobiles,54.19,Steel,45.81,,,,,"['Battery & Energy Materials', 'Energy Storage Systems', 'Telecommunications and IoT Technologies', 'Cloud Infrastructure', 'SaaS Platforms', 'Mobility and Smart Transportation Technologies', 'Construction, Plant and Heavy Industry Technologies']"
001420,태원물산,Auto Parts,63.28,Primary Processed Foods,36.72,,,,,
001430,세아베스틸지주,Asset Management,100,,,,,,,
001440,대한전선,Heavy Electrical Equipment,74.2,Electric Power,25.8,,,,,['Telecommunications and IoT Technologies']
001450,현대해상,Insurance,100,,,,,,,
001460,BYC,Apparel & Accessories,72.05,Real Estate Development & Management,27.95,,,,,
001470,삼부토건,Civil Construction,69.63,Other Financial Services,30.37,,,,,"['Construction, Plant and Heavy Industry Technologies']"
001500,현대차증권,Securities,100,,,,,,,['Finance and Risk Analytics Technologies']
001510,SK증권,Securities,100,,,,,,,
001520,동양,Building Materials,75.62,Civil Construction,24.38,,,,,"['Construction, Plant and Heavy Industry Technologies']"
001530,DI동일,Chemical Fibers,59.25,Non-ferrous Metals,40.75,,,,,"['Battery & Energy Materials', 'Advanced Optical & Electronic Materials']"
001540,안국약품,Pharmaceuticals,100,,,,,,,"['Biopharmaceuticals', 'Digital Therapeutics']"
001550,조비,Agrochemicals & Fertilizers,100,,,,,,,
001560,제일연마,Special-purpose Machinery,100,,,,,,,
001570,금양,Specialty Chemicals,100,,,,,,,"['Battery & Energy Materials', 'Hydrogen Energy', 'High-performance Polymers & Functional Films']"
001620,케이비아이동국실업,Auto Parts,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
001630,종근당홀딩스,Health Supplements,55.68,Pharmaceuticals,44.32,,,,,"['Biopharmaceuticals', 'Genomics & Diagnostics']"
001680,대상,Primary Processed Foods,75.46,Specialty Chemicals,24.54,,,,,
001720,신영증권,Securities,100,,,,,,,
001740,SK네트웍스,Telecom Services,72.3,Trading Companies,27.7,,,,,"['Predictive AI', 'Generative AI', 'Telecommunications and IoT Technologies', 'Solar & Wind Power', 'Energy Storage Systems']"
001750,한양증권,Securities,100,,,,,,,['Finance and Risk Analytics Technologies']
001770,SHD,Metal Processing,100,,,,,,,
001780,알루코,Metal Processing,100,,,,,,,"['Battery & Energy Materials', 'Construction, Plant and Heavy Industry Technologies']"
001790,대한제당,Primary Processed Foods,53.21,"Agriculture, Livestock & Fisheries",46.79,,,,,
001800,오리온홀딩스,Secondary Processed Foods,53.56,Primary Processed Foods,46.44,,,,,
001810,무림SP,Paper & Pulp,100,,,,,,,
001820,삼화콘덴서,Electronic Components,100,,,,,,,['Advanced Optical & Electronic Materials']
001840,이화공영,Building Construction,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
001940,KISCO홀딩스,Steel,100,,,,,,,
002020,코오롱,Specialty Chemicals,40.45,Specialty Retail,30.8,Building Construction,28.74,,,"['Construction, Plant and Heavy Industry Technologies', 'Solar & Wind Power', 'Biopharmaceuticals', 'Genomics & Diagnostics', 'Cloud Infrastructure', 'SaaS Platforms', 'Advanced Optical & Electronic Materials', 'High-performance Polymers & Functional Films']"
002030,아세아,Paper & Pulp,51.04,Building Materials,48.96,,,,,
002070,비비안,Apparel & Accessories,100,,,,,,,
002100,경농,Agrochemicals & Fertilizers,100,,,,,,,
002140,고려산업,"Agriculture, Livestock & Fisheries",100,,,,,,,
002150,도화엔지니어링,Engineering & Design Services,73.34,Civil Construction,26.66,,,,,"['Construction, Plant and Heavy Industry Technologies', 'Solar & Wind Power', 'Energy Storage Systems']"
002170,삼양통상,Apparel & Accessories,100,,,,,,,
002200,한국수출포장,Packaging Materials,100,,,,,,,
002210,동성제약,Pharmaceuticals,100,,,,,,,
002220,한일철강,Steel,51.27,Industrial Goods Distribution,48.73,,,,,
002230,피에스텍,Heavy Electrical Equipment,70.89,Alternative Power,29.11,,,,,"['Process Automation', 'Industrial IoT', 'Energy Storage Systems']"
002240,고려제강,Metal Processing,100,,,,,,,
002290,삼일기업공사,Building Construction,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
002310,아세아제지,Paper & Pulp,100,,,,,,,
002320,한진,Freight Land Transport,100,,,,,,,"['Process Automation', 'Cloud Infrastructure', 'SaaS Platforms', 'Solar & Wind Power']"
002350,넥센타이어,Tires,100,,,,,,,"['Process Automation', 'Advanced Optical & Electronic Materials', 'AI Accelerators']"
002360,SH에너지화학,Synthetic Rubber & Plastics,100,,,,,,,
002380,KCC,Specialty Chemicals,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies', 'Advanced Optical & Electronic Materials', 'High-performance Polymers & Functional Films']"
002390,한독,Pharmaceuticals,100,,,,,,,
002410,범양건영,Civil Construction,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
002420,세기상사,Oil Refining & Marketing,100,,,,,,,
002450,삼익악기,Leisure Products,61.24,Electric Power,38.76,,,,,
002460,HS화성,Building Construction,68.29,Real Estate Development & Management,31.71,,,,,"['Construction, Plant and Heavy Industry Technologies']"
002600,조흥,Primary Processed Foods,100,,,,,,,
002620,제일파마홀딩스,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
002630,오리엔트바이오,Biotechnology,100,,,,,,,"['Genomics & Diagnostics', 'Digital Therapeutics', 'Biopharmaceuticals']"
002680,한탑,Primary Processed Foods,100,,,,,,,
002690,동일제강,Metal Processing,70.99,Non-ferrous Metals,29.01,,,,,
002700,신일전자,Home Appliances,100,,,,,,,
002710,TCC스틸,Real Estate Development & Management,50.05,Steel,49.95,,,,,
002720,국제약품,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
002760,보락,Specialty Chemicals,100,,,,,,,
002780,진흥기업,Building Construction,84.41,Civil Construction,15.59,,,,,"['Construction, Plant and Heavy Industry Technologies']"
002790,아모레G,Cosmetics,100,,,,,,,
002800,신신제약,Pharmaceuticals,100,,,,,,,
002810,삼영무역,Auto Parts,54.5,Specialty Chemicals,45.5,,,,,
002820,SUN&L,Home Furniture,56.44,Lumber,23.93,Nondurable Household Products,19.63,,,
002840,미원상사,Specialty Chemicals,100,,,,,,,"['Advanced Optical & Electronic Materials', 'High-performance Polymers & Functional Films', 'Semiconductor Materials']"
002870,신풍,Paper & Pulp,100,,,,,,,
002880,대유에이텍,Auto Parts,100,,,,,,,
002900,TYM,Agricultural Machinery,100,,,,,,,
002920,유성기업,Auto Parts,100,,,,,,,"['Mobility and Smart Transportation Technologies', 'Industrial IoT']"
002960,한국쉘석유,Petrochemicals,100,,,,,,,
002990,금호건설,Building Construction,64,Civil Construction,36,,,,,"['Construction, Plant and Heavy Industry Technologies']"
003000,부광약품,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
003010,혜인,Construction Machinery,66.22,Power Equipment,33.78,,,,,"['Construction, Plant and Heavy Industry Technologies', 'Green Energy and Environmental Technologies']"
003030,세아제강지주,Metal Processing,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
003060,에이프로젠바이오로직스,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
003070,코오롱글로벌,Building Construction,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies', 'Solar & Wind Power']"
003080,성보화학,Agrochemicals & Fertilizers,100,,,,,,,
003090,대웅,Pharmaceuticals,100,,,,,,,"['Biopharmaceuticals', 'Digital Therapeutics', 'Genomics & Diagnostics']"
003100,선광,Marine Transport,100,,,,,,,
003120,일성아이에스,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
003160,디아이,Semiconductor Materials & Equipment,100,,,,,,,"['Semiconductor Materials', 'Energy Storage Systems']"
003200,일신방직,Chemical Fibers,100,,,,,,,
003220,대원제약,Pharmaceuticals,100,,,,,,,
003230,삼양식품,Primary Processed Foods,100,,,,,,,
003240,태광산업,Petrochemicals,100,,,,,,,
003280,흥아해운,Marine Transport,100,,,,,,,"['Process Automation', 'Mobility and Smart Transportation Technologies', 'Energy Storage Systems']"
003300,한일홀딩스,Building Materials,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
003310,대주산업,"Agriculture, Livestock & Fisheries",100,,,,,,,
003350,한국화장품제조,Cosmetics,100,,,,,,,
003380,하림지주,"Agriculture, Livestock & Fisheries",46.15,Marine Transport,36.08,Primary Processed Foods,17.77,,,
003460,유화증권,Securities,100,,,,,,,['Finance and Risk Analytics Technologies']
003470,유안타증권,Securities,100,,,,,,,
003480,한진중공업홀딩스,Gas,65.58,Electric Power,34.42,,,,,"['Energy Storage Systems', 'Solar & Wind Power']"
003490,대한항공,Passenger Land Transport,100,,,,,,,"['Mobility and Smart Transportation Technologies', 'Industrial IoT', 'Semiconductor Materials', 'Battery & Energy Materials', 'AI Accelerators']"
003520,영진약품,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
003530,한화투자증권,Securities,100,,,,,,,['Finance and Risk Analytics Technologies']
003540,대신증권,Securities,100,,,,,,,['Finance and Risk Analytics Technologies']
003550,LG,IT Services,100,,,,,,,"['Cloud Infrastructure', 'SaaS Platforms', 'Edge Computing', 'Predictive AI', 'Generative AI', 'Real-time Analytics', 'AI Accelerators', 'Process Automation', 'Energy Storage Systems', 'Telecommunications and IoT Technologies', 'Battery & Energy Materials']"
003560,IHQ,Broadcasting,57.16,Advertising,42.84,,,,,
003570,SNT다이내믹스,Auto Parts,100,,,,,,,"['Mobility and Smart Transportation Technologies', 'Construction, Plant and Heavy Industry Technologies']"
003580,HLB글로벌,E-commerce,74.44,Secondary Processed Foods,25.56,,,,,['Digital Therapeutics']
003610,방림,Synthetic Rubber & Plastics,100,,,,,,,
003620,KG모빌리티,Automobiles,100,,,,,,,['Mobility and Smart Transportation Technologies']
003650,미창석유,Petrochemicals,76,Specialty Chemicals,24,,,,,
003670,포스코퓨처엠,Secondary Batteries,63.24,Specialty Chemicals,36.76,,,,,['Battery & Energy Materials']
003680,한성기업,Primary Processed Foods,69.53,"Agriculture, Livestock & Fisheries",30.47,,,,,
003690,코리안리,Insurance,100,,,,,,,
003720,삼영,Special-purpose Machinery,50.4,Specialty Chemicals,49.6,,,,,"['High-performance Polymers & Functional Films', 'Battery & Energy Materials', 'Solar & Wind Power', 'Energy Storage Systems']"
003780,진양산업,Synthetic Rubber & Plastics,100,,,,,,,['High-performance Polymers & Functional Films']
003800,에이스침대,Home Furniture,100,,,,,,,
003830,대한화섬,Chemical Fibers,100,,,,,,,
003850,보령,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
003920,남양유업,Primary Processed Foods,100,,,,,,,
003960,사조대림,Primary Processed Foods,100,,,,,,,
004000,롯데정밀화학,Specialty Chemicals,100,,,,,,,['High-performance Polymers & Functional Films']
004020,현대제철,Steel,100,,,,,,,
004060,SG세계물산,Apparel & Accessories,100,,,,,,,
004080,신흥,Medical Equipment,100,,,,,,,
004090,한국석유,Petrochemicals,82.69,Oil Refining & Marketing,17.31,,,,,
004100,태양금속,Auto Parts,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
004140,동방,Marine Transport,62.65,Freight Land Transport,37.35,,,,,
004150,한솔홀딩스,Paper & Pulp,100,,,,,,,"['Cloud Infrastructure', 'Telecommunications and IoT Technologies', 'Solar & Wind Power', 'Semiconductor Materials']"
004170,신세계,Specialty Retail,53.53,Multiline Retail,46.47,,,,,"['Retail, Marketing and Customer Technologies']"
004250,NPC,Rubber & Plastic Products,76.13,Consumer Goods Rental Services,23.87,,,,,
004270,남성,Electronic Equipment & Devices,100,,,,,,,"['Mobility and Smart Transportation Technologies', 'Telecommunications and IoT Technologies']"
004310,현대약품,Pharmaceuticals,100,,,,,,,
004360,세방,Marine Transport,100,,,,,,,
004370,농심,Primary Processed Foods,100,,,,,,,
004380,삼익THK,Special-purpose Machinery,100,,,,,,,"['Process Automation', 'Industrial IoT', 'Semiconductor Materials', 'Battery & Energy Materials', 'AI Accelerators', 'Blockchain and Distributed Ledger Technologies']"
004410,서울식품,Primary Processed Foods,100,,,,,,,
004430,송원산업,Specialty Chemicals,100,,,,,,,['High-performance Polymers & Functional Films']
004440,삼일씨엔에스,Steel,51.81,Building Materials,48.19,,,,,"['Construction, Plant and Heavy Industry Technologies', 'Solar & Wind Power']"
004450,삼화왕관,Packaging Materials,79.3,Rubber & Plastic Products,20.7,,,,,
004490,세방전지,Secondary Batteries,100,,,,,,,['Battery & Energy Materials']
004540,깨끗한나라,Paper & Pulp,53.59,Nondurable Household Products,46.41,,,,,
004560,현대비앤지스틸,Steel,100,,,,,,,
004590,한국가구,Home Furniture,100,,,,,,,
004650,창해에탄올,Beverages & Alcohol,61.19,Other Industrials,38.81,,,,,
004690,삼천리,Gas,100,,,,,,,
004700,조광피혁,Apparel & Accessories,100,,,,,,,
004710,한솔테크닉스,Electronic Components,63.94,Handsets,36.06,,,,,"['Semiconductor Materials', 'Battery & Energy Materials', 'Solar & Wind Power', 'Telecommunications and IoT Technologies']"
004720,팜젠사이언스,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
004770,써니전자,Electronic Components,100,,,,,,,['Advanced Optical & Electronic Materials']
004780,대륙제관,Packaging Materials,100,,,,,,,
004800,효성,Trading Companies,33.68,Synthetic Rubber & Plastics,23.02,Heavy Electrical Equipment,22.6,Petrochemicals,20.7,"['Construction, Plant and Heavy Industry Technologies', 'Advanced Optical & Electronic Materials', 'High-performance Polymers & Functional Films']"
004830,덕성,Synthetic Rubber & Plastics,100,,,,,,,
004840,DRB동일,Rubber & Plastic Products,100,,,,,,,"['Process Automation', 'Digital Therapeutics']"
004870,티웨이홀딩스,Building Materials,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
004890,동일산업,Steel,67.69,Non-ferrous Metals,32.31,,,,,
004910,조광페인트,Specialty Chemicals,100,,,,,,,
004920,씨아이테크,IT Services,100,,,,,,,"['Education and Content Technologies', 'Telecommunications and IoT Technologies', 'Cloud Infrastructure']"
004960,한신공영,Building Construction,79.02,Civil Construction,20.98,,,,,"['Construction, Plant and Heavy Industry Technologies']"
004970,신라교역,"Agriculture, Livestock & Fisheries",100,,,,,,,
004980,성신양회,Building Materials,100,,,,,,,
004990,롯데지주,Petrochemicals,46.33,Multiline Retail,29.77,Specialty Chemicals,23.9,,,
005010,휴스틸,Steel,100,,,,,,,
005030,부산주공,Auto Parts,100,,,,,,,
005070,코스모신소재,Secondary Batteries,100,,,,,,,"['Battery & Energy Materials', 'High-performance Polymers & Functional Films']"
005090,SGC에너지,Independent Power Producers,62.21,Ceramic Products,20.65,Electric Power,17.14,,,"['Energy Storage Systems', 'Carbon Capture and Utilization', 'Construction, Plant and Heavy Industry Technologies']"
005110,한창,Entertainment,75.39,Real Estate Development & Management,24.61,,,,,"['Advanced Optical & Electronic Materials', 'Battery & Energy Materials', 'Carbon Capture and Utilization']"
005160,동국산업,Steel,83.8,Alternative Energy,16.2,,,,,"['Construction, Plant and Heavy Industry Technologies', 'Solar & Wind Power']"
005180,빙그레,Primary Processed Foods,100,,,,,,,
005250,녹십자홀딩스,Pharmaceuticals,100,,,,,,,"['Biopharmaceuticals', 'Genomics & Diagnostics', 'Digital Therapeutics']"
005290,동진쎄미켐,Specialty Chemicals,100,,,,,,,"['Semiconductor Materials', 'Battery & Energy Materials', 'Advanced Optical & Electronic Materials']"
005300,롯데칠성,Beverages & Alcohol,100,,,,,,,
005320,온타이드,Apparel & Accessories,100,,,,,,,
005360,모나미,Other Industrials,78.8,Electronic Components,21.2,,,,,
005380,현대차,Automobiles,100,,,,,,,"['Mobility and Smart Transportation Technologies', 'Process Automation', 'Hydrogen Energy']"
005390,신성통상,Apparel & Accessories,100,,,,,,,
005420,코스모화학,Secondary Batteries,66.08,Specialty Chemicals,33.92,,,,,"['Battery & Energy Materials', 'Advanced Optical & Electronic Materials']"
005430,한국공항,Freight Air Transport,100,,,,,,,
005440,현대지에프홀딩스,Home Furniture,100,,,,,,,
005490,POSCO홀딩스,Steel,59.18,Trading Companies,40.82,,,,,"['Process Automation', 'Industrial IoT', 'Battery & Energy Materials']"
005500,삼진제약,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
005610,SPC삼립,Food Wholesale & Retail,55.34,Secondary Processed Foods,24.8,Primary Processed Foods,19.87,,,
005670,푸드웰,Primary Processed Foods,78.11,Health Supplements,21.89,,,,,
005680,삼영전자,Electronic Components,100,,,,,,,
005690,파미셀,Specialty Chemicals,100,,,,,,,"['Biopharmaceuticals', 'Advanced Optical & Electronic Materials']"
005710,대원산업,Auto Parts,100,,,,,,,
005720,넥센,Tires,100,,,,,,,
005740,크라운해태홀딩스,Secondary Processed Foods,100,,,,,,,
005750,대림바스,Home Equipment & Products,100,,,,,,,
005800,신영와코루,Apparel & Accessories,100,,,,,,,"['Retail, Marketing and Customer Technologies']"
005810,풍산홀딩스,Non-ferrous Metals,71.99,Defense,28.01,,,,,
005820,원림,Packaging Materials,57.02,Medical Equipment,42.98,,,,,
005830,DB손해보험,Insurance,100,,,,,,,
005850,에스엘,Auto Parts,100,,,,,,,"['Mobility and Smart Transportation Technologies', 'Battery & Energy Materials']"
005860,한일사료,"Agriculture, Livestock & Fisheries",100,,,,,,,
005870,휴니드,Defense,100,,,,,,,['Telecommunications and IoT Technologies']
005880,대한해운,Marine Transport,100,,,,,,,
005930,삼성전자,Home Appliances,61.16,Semiconductor Manufacturing,38.84,,,,,"['Semiconductor Materials', 'Telecommunications and IoT Technologies', 'Mobility and Smart Transportation Technologies', 'Advanced Optical & Electronic Materials']"
005940,NH투자증권,Securities,100,,,,,,,['Finance and Risk Analytics Technologies']
005950,이수화학,Petrochemicals,100,,,,,,,"['Biopharmaceuticals', 'Construction, Plant and Heavy Industry Technologies']"
005960,동부건설,Building Construction,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
005990,매일홀딩스,Primary Processed Foods,54.98,Other Industrials,45.02,,,,,
006040,동원산업,Primary Processed Foods,76.45,Packaging Materials,23.55,,,,,
006050,국영지앤엠,Building Materials,100,,,,,,,
006060,화승인더,Footwear,100,,,,,,,"['Process Automation', 'Advanced Optical & Electronic Materials']"
006090,사조오양,Primary Processed Foods,82.4,"Agriculture, Livestock & Fisheries",17.6,,,,,
006110,삼아알미늄,Metal Processing,84.27,Electronic Components,15.73,,,,,"['Battery & Energy Materials', 'Advanced Optical & Electronic Materials']"
006120,SK디스커버리,Gas,100,,,,,,,"['Biopharmaceuticals', 'Solar & Wind Power', 'Energy Storage Systems']"
006140,피제이전자,Medical Equipment,100,,,,,,,"['Process Automation', 'Industrial IoT', 'Mobility and Smart Transportation Technologies']"
006200,한국전자홀딩스,Semiconductor Manufacturing,100,,,,,,,['Semiconductor Materials']
006220,제주은행,Banks,100,,,,,,,
006260,LS,Precious Metals,43.51,Electronic Components,24.29,Electric Power,16.35,Real Estate Development & Management,15.85,
006280,녹십자,Pharmaceuticals,100,,,,,,,"['Biopharmaceuticals', 'Genomics & Diagnostics']"
006340,대원전선,Electrical Components & Equipment,55.21,Electric Power,44.79,,,,,['Telecommunications and IoT Technologies']
006360,GS건설,Building Construction,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies', 'Process Automation', 'Energy Storage Systems', 'Solar & Wind Power', 'Telecommunications and IoT Technologies']"
006370,대구백화점,Multiline Retail,100,,,,,,,
006380,카프로,Petrochemicals,100,,,,,,,['High-performance Polymers & Functional Films']
006390,한일현대시멘트,Building Materials,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
006400,삼성SDI,Secondary Batteries,100,,,,,,,"['Battery & Energy Materials', 'Semiconductor Materials']"
006490,인스코비,Telecom Services,100,,,,,,,"['Telecommunications and IoT Technologies', 'Construction, Plant and Heavy Industry Technologies']"
006570,대림통상,Building Materials,64.97,Home Equipment & Products,35.03,,,,,
006620,동구바이오제약,Pharmaceuticals,100,,,,,,,['Biopharmaceuticals']
006650,대한유화,Petrochemicals,100,,,,,,,"['High-performance Polymers & Functional Films', 'Industrial IoT']"
006660,삼성공조,Auto Parts,100,,,,,,,['Mobility and Smart Transportation Technologies']
006730,서부T&D,Hotels & Restaurants,79.3,E-commerce,20.7,,,,,
006740,영풍제지,Paper & Pulp,100,,,,,,,
006800,미래에셋증권,Securities,100,,,,,,,"['Finance and Risk Analytics Technologies', 'AI Accelerators']"
006840,AK홀딩스,Passenger Land Transport,44.02,Petrochemicals,33.72,Multiline Retail,22.26,,,
006880,신송홀딩스,Primary Processed Foods,100,,,,,,,
006890,태경케미컬,Industrial Gases,100,,,,,,,
006910,보성파워텍,Electric Power,84.77,Heavy Electrical Equipment,15.23,,,,,"['Construction, Plant and Heavy Industry Technologies']"
006920,모헨즈,Building Materials,100,,,,,,,
006980,우성,"Agriculture, Livestock & Fisheries",100,,,,,,,
007070,GS리테일,Multiline Retail,100,,,,,,,"['Retail, Marketing and Customer Technologies']"
007110,일신석재,Building Materials,53.83,Specialized Construction,46.17,,,,,
007120,미래아이앤지,Fintech,100,,,,,,,['Finance and Risk Analytics Technologies']
007160,사조산업,Primary Processed Foods,52.77,"Agriculture, Livestock & Fisheries",47.23,,,,,
007210,벽산,Building Materials,80.39,Home Equipment & Products,19.61,,,,,
007280,한국특강,Steel,100,,,,,,,"['Construction, Plant and Heavy Industry Technologies']"
007310,오뚜기,Primary Processed Foods,100,,,,,,,
